SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,510 Lee St #7,Seattle,WA,98109,459000,2,1.0,Queen Anne,760.0,,1957.0,1,604.0,328.0,Active,February-3-2018 11:00 AM,February-3-2018 01:00 PM,http://www.redfin.com/WA/Seattle/510-Lee-St-98109/unit-7/home/17383418,NWMLS,1237585,N,Y,47.6316321,-122.3470489
MLS Listing,,Single Family Residential,352 NE 53rd St,Seattle,WA,98105,648000,3,1.75,Green Lake,1170.0,5100.0,1921.0,1,554.0,,Active,February-1-2018 05:00 PM,February-1-2018 07:00 PM,http://www.redfin.com/WA/Seattle/352-NE-53rd-St-98105/home/305146,NWMLS,1239016,N,Y,47.6673211,-122.3232602
MLS Listing,,Single Family Residential,11025 21st Ave SW,Seattle,WA,98146,440000,3,1.75,Shorewood,1510.0,8000.0,1954.0,1,291.0,,Active,February-3-2018 02:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/11025-21st-Ave-SW-98146/home/180638,NWMLS,1238951,N,Y,47.5041985,-122.3607529
MLS Listing,,Single Family Residential,6846 24th Ave NE,Seattle,WA,98115,715000,3,1.0,Ravenna,1820.0,4532.0,1948.0,1,393.0,,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/6846-24th-Ave-NE-98115/home/309601,NWMLS,1235253,N,Y,47.6790498,-122.3014203
MLS Listing,,Condo/Co-op,401 9th Ave N #618,Seattle,WA,98109,749900,1,1.5,South Lake Union,1013.0,21224.0,2009.0,5,740.0,649.0,Active,,,http://www.redfin.com/WA/Seattle/401-9th-Ave-N-98109/unit-618/home/21616495,NWMLS,1238328,N,Y,47.622291,-122.3399715
MLS Listing,,Condo/Co-op,1026 NE 65th St Unit A305,Seattle,WA,98115,599950,2,1.75,Roosevelt,854.0,18491.0,2006.0,5,703.0,458.0,Active,,,http://www.redfin.com/WA/Seattle/1026-NE-65th-St-98115/unit-A305/home/2117403,NWMLS,1237772,N,Y,47.676065,-122.3163866
MLS Listing,,Single Family Residential,321 Martin Luther King Jr Wy S,Seattle,WA,98144,588000,4,2.0,Central Area,3090.0,3600.0,1901.0,5,190.0,,Active,,,http://www.redfin.com/WA/Seattle/321-Martin-Luther-King-Junior-Way-S-98144/home/143094,NWMLS,1237437,N,Y,47.5997045,-122.2977265
MLS Listing,,Condo/Co-op,7309 Sand Point Wy NE Unit B943,Seattle,WA,98115,450000,2,1.5,Sand Point,1024.0,87990.0,1979.0,5,439.0,288.0,Active,,,http://www.redfin.com/WA/Seattle/7309-Sand-Point-Way-NE-98115/unit-B943/home/144769257,NWMLS,1237165,N,Y,47.682153,-122.2638356
MLS Listing,,Single Family Residential,11318 Meridian Ave N,Seattle,WA,98133,775000,5,2.75,Northgate,2160.0,7800.0,1984.0,5,359.0,,Active,,,http://www.redfin.com/WA/Seattle/11318-Meridian-Ave-N-98133/home/103408,NWMLS,1237858,N,Y,47.7109878,-122.3337659
MLS Listing,,Single Family Residential,2115 33rd Ave W,Seattle,WA,98199,799000,3,1.75,Magnolia,1430.0,4424.0,1944.0,6,559.0,,Active,,,http://www.redfin.com/WA/Seattle/2115-33rd-Ave-W-98199/home/125688,NWMLS,1236832,N,Y,47.6382205,-122.3998852
MLS Listing,,Single Family Residential,7958 32nd Ave SW,Seattle,WA,98126,849950,5,2.5,Westwood Village,3200.0,7680.0,1925.0,6,266.0,,Active,February-3-2018 01:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/7958-32nd-Ave-SW-98126/home/471865,NWMLS,1235948,N,Y,47.530258,-122.37355
MLS Listing,,Single Family Residential,8157 11th Ave SW,Seattle,WA,98106,499000,2,1.75,Highland Park,1550.0,7620.0,1930.0,6,322.0,,Active,,,http://www.redfin.com/WA/Seattle/8157-11th-Ave-SW-98106/home/474399,NWMLS,1236687,N,Y,47.5284803,-122.3495774
MLS Listing,,Single Family Residential,146 NE 61st St,Seattle,WA,98115,1525000,5,3.5,Green Lake,2580.0,6120.0,1908.0,6,591.0,,Active,,,http://www.redfin.com/WA/Seattle/146-NE-61st-St-98115/home/305244,NWMLS,1236443,N,Y,47.6730345,-122.3261826
MLS Listing,,Condo/Co-op,900 Lenora St Unit W903,Seattle,WA,98121,638000,1,1.0,Denny Triangle,732.0,86136.0,2006.0,7,872.0,684.0,Active,,,http://www.redfin.com/WA/Seattle/900-Lenora-St-98121/unit-W903/home/103953382,NWMLS,1235741,N,Y,47.6174845,-122.3370026
MLS Listing,,Townhouse,3631 Courtland Place S Unit B,Seattle,WA,98144,600000,2,1.75,Mt Baker,1260.0,670.0,2016.0,7,476.0,100.0,Active,,,http://www.redfin.com/WA/Seattle/3631-Courtland-Pl-S-98144/unit-B/home/109661015,NWMLS,1236988,N,Y,47.5705974,-122.2873326
MLS Listing,,Townhouse,1318 S Atlantic St,Seattle,WA,98144,749888,2,1.25,Beacon Hill,1090.0,845.0,2017.0,13,688.0,,Active,,,http://www.redfin.com/WA/Seattle/1318-S-Atlantic-St-98144/home/113178822,NWMLS,1234698,N,Y,47.5901353,-122.3152239
MLS Listing,,Single Family Residential,13018 23rd Ave NE,Seattle,WA,98125,475000,2,1.0,Olympic Hills,820.0,8100.0,1942.0,13,579.0,,Active,,,http://www.redfin.com/WA/Seattle/13018-23rd-Ave-NE-98125/home/115086,NWMLS,1231921,N,Y,47.7234421,-122.3043214
MLS Listing,,Townhouse,6641 Carleton Ave S Unit D,Seattle,WA,98108,599950,2,2.0,Georgetown,1370.0,1348.0,2017.0,21,438.0,,Active,February-3-2018 11:00 AM,February-3-2018 01:00 PM,http://www.redfin.com/WA/Seattle/6641-Carleton-Ave-S-98108/unit-D/home/144669149,NWMLS,1231439,N,Y,47.5430626,-122.3216651
MLS Listing,,Condo/Co-op,8001 Sand Point Wy NE Unit C53,Seattle,WA,98115,649900,2,1.75,Sand Point,1353.0,361500.0,1974.0,49,480.0,654.0,Active,,,http://www.redfin.com/WA/Seattle/8001-Sand-Point-Way-NE-98115/unit-C53/home/109319767,NWMLS,1225672,N,Y,47.686693,-122.2651844
MLS Listing,,Townhouse,1 Ward St Unit C,Seattle,WA,98109,1350000,2,2.5,Queen Anne,2235.0,10809.0,1909.0,114,604.0,932.0,Active,,,http://www.redfin.com/WA/Seattle/1-Ward-St-98109/unit-C/home/21616713,NWMLS,1203527,N,Y,47.6278362,-122.3563414
MLS Listing,,Townhouse,2940 SW Raymond St,Seattle,WA,98126,425000,2,2.25,High Point,1138.0,173136.0,2006.0,1,373.0,391.0,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/2940-SW-Raymond-St-98126/home/17069513,NWMLS,1238985,N,Y,47.548618,-122.3702209
MLS Listing,,Condo/Co-op,12034 15th Ave NE #205,Seattle,WA,98125,389950,2,1.75,Pinehurst,1044.0,11077.0,2000.0,1,374.0,503.0,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/12034-15th-Ave-NE-98125/unit-205/home/14477,NWMLS,1229834,N,Y,47.716855,-122.3121343
MLS Listing,,Single Family Residential,12316 5th Ave NE,Seattle,WA,98125,699900,6,2.75,Northgate,3420.0,6631.0,1946.0,1,205.0,,Active,,,http://www.redfin.com/WA/Seattle/12316-5th-Ave-NE-98125/home/106580,NWMLS,1234226,N,Y,47.7182234,-122.3231918
MLS Listing,,Single Family Residential,353 N 101st St,Seattle,WA,98133,900000,4,2.25,Greenwood,2153.0,3752.0,2018.0,1,418.0,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/353-N-101st-St-98133/home/113996240,NWMLS,1238270,N,Y,47.701954,-122.353098
MLS Listing,,Condo/Co-op,300 N 130th St #5205,Seattle,WA,98133,295000,1,1.0,Seattle,707.0,203091.0,1988.0,1,417.0,377.0,Active,January-31-2018 11:00 AM,January-31-2018 12:30 PM,http://www.redfin.com/WA/Seattle/300-N-130th-St-98133/unit-5205/home/12537547,NWMLS,1239800,N,Y,47.723785,-122.353737
MLS Listing,,Single Family Residential,1808 10th Ave E,Seattle,WA,98102,1165000,3,2.5,North Capitol Hill,3040.0,4500.0,1925.0,1,383.0,,Active,January-31-2018 10:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/1808-10th-Ave-E-98102/home/136947,NWMLS,1227335,N,Y,47.635323,-122.3197744
MLS Listing,,Single Family Residential,3609 NE 43rd St,Seattle,WA,98105,1480000,3,2.25,Laurelhurst,2660.0,5000.0,1956.0,1,556.0,,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/3609-NE-43rd-St-98105/home/122002,NWMLS,1238769,N,Y,47.6596547,-122.2889077
MLS Listing,,Single Family Residential,4106 SW Arroyo Ct,Seattle,WA,98146,975000,3,2.25,Arroyo,2860.0,7740.0,1958.0,1,341.0,,Active,January-31-2018 10:00 AM,January-31-2018 02:00 PM,http://www.redfin.com/WA/Seattle/4106-SW-Arroyo-Ct-98146/home/157488,NWMLS,1235963,N,Y,47.5040845,-122.3840179
MLS Listing,,Single Family Residential,10759 Durland Ave NE,Seattle,WA,98125,1150000,4,3.5,Matthews Beach,3370.0,6540.0,2004.0,1,341.0,,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/10759-Durland-Ave-NE-98125/home/2073319,NWMLS,1239374,N,Y,47.7088079,-122.2790367
MLS Listing,,Single Family Residential,4615 52nd Ave S,Seattle,WA,98118,639000,3,1.5,Lakewood,1570.0,7200.0,1949.0,1,407.0,,Active,,,http://www.redfin.com/WA/Seattle/4615-52nd-Ave-S-98118/home/489302,NWMLS,1239782,N,Y,47.5612729,-122.2685141
MLS Listing,,Single Family Residential,11010 Parkview Ave S,Seattle,WA,98178,299000,2,0.75,Lakeridge,770.0,6212.0,1942.0,1,388.0,,Active,,,http://www.redfin.com/WA/Seattle/11010-Parkview-Ave-S-98178/home/197538,NWMLS,1239368,N,Y,47.5044049,-122.2424414
